"Filename","Extension","Size_KB","RelativePath","LastModified"
"LEBW4993-04_Generator_systems.pdf",".pdf","1079.4","C:\Users\haswa.HASWANTH\Downloads\et_data\datasets\02_Equipment_Specifications\Generator\LEBW4993-04_Generator_systems.pdf","2026-06-24 20:47:16"
"Specifying Standby Generator Set Requirements for Data Centers 2022-08-10.pdf",".pdf","2634.68","C:\Users\haswa.HASWANTH\Downloads\et_data\datasets\02_Equipment_Specifications\Generator\Specifying Standby Generator Set Requirements for Data Centers 2022-08-10.pdf","2026-06-24 20:46:19"
"Automatic Transfer Switches Brochure.pdf",".pdf","1993.97","C:\Users\haswa.HASWANTH\Downloads\et_data\datasets\02_Equipment_Specifications\Switchgear\Automatic Transfer Switches Brochure.pdf","2026-06-24 21:07:48"
"Technical_Note_178_AutomaticTransferSwitch_Technology_Drives.pdf",".pdf","324.45","C:\Users\haswa.HASWANTH\Downloads\et_data\datasets\02_Equipment_Specifications\Switchgear\Technical_Note_178_AutomaticTransferSwitch_Technology_Drives.pdf","2026-06-24 20:49:14"
"ABB_UPS_ISG_MGF_SUL_1M0_1M6_1US_REV-B.pdf",".pdf","18525.03","C:\Users\haswa.HASWANTH\Downloads\et_data\datasets\02_Equipment_Specifications\UPS\ABB_UPS_ISG_MGF_SUL_1M0_1M6_1US_REV-B.pdf","2026-06-24 20:28:48"
"eaton-93e-ups-15-80-kva-installation-and-operation-manual-614-01975-00-en.pdf",".pdf","3533.43","C:\Users\haswa.HASWANTH\Downloads\et_data\datasets\02_Equipment_Specifications\UPS\eaton-93e-ups-15-80-kva-installation-and-operation-manual-614-01975-00-en.pdf","2026-06-24 20:30:36"
"UPSBikaner_1b362a61-e126-4f9c-96871714483017301_buycon165.cb.rj.pdf",".pdf","438.82","C:\Users\haswa.HASWANTH\Downloads\et_data\datasets\02_Equipment_Specifications\UPS\UPSBikaner_1b362a61-e126-4f9c-96871714483017301_buycon165.cb.rj.pdf","2026-06-24 20:29:09"
"eaton-93t-ups-commissioning-instructions-en-us.pdf",".pdf","3615.3","C:\Users\haswa.HASWANTH\Downloads\et_data\datasets\03_Commissioning\UPS\eaton-93t-ups-commissioning-instructions-en-us.pdf","2026-06-24 20:29:02"
"uninterruptible-power-supply-battery-acceptance-capacity-test-procedure.pdf",".pdf","525.58","C:\Users\haswa.HASWANTH\Downloads\et_data\datasets\03_Commissioning\UPS\uninterruptible-power-supply-battery-acceptance-capacity-test-procedure.pdf","2026-06-24 20:33:42"
"Data Center RFI Response - Geothermal Rising.pdf",".pdf","247.19","C:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs\Data Center RFI Response - Geothermal Rising.pdf","2026-06-24 19:54:08"
