"Filename","DocumentType","Equipment","Vendor","Category","Extension","Pages","SourceFolder","DestinationFolder"
"Data Center RFI Response - Geothermal Rising.pdf","RFI","N/A","Various","Project_Communications",".pdf","N/A","Root/RAG","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs"
"Grid-Action-Data-Center-RFI-Response-05-07-25.pdf","RFI","N/A","Various","Project_Communications",".pdf","N/A","Root/RAG","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs"
"Impact & Control of RFIs on Construction Projects.pdf","RFI","N/A","Various","Project_Communications",".pdf","N/A","Root/RAG","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs"
"Questions and Answers_3.pdf","RFI","N/A","Various","Project_Communications",".pdf","N/A","Root/RAG","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs"
"RFI 10887-25 Questions and Answers 12.1.25.pdf","RFI","N/A","Various","Project_Communications",".pdf","N/A","Root/RAG","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs"
"RFI 10887-25 Questions and Answers 12.8.25.pdf","RFI","N/A","Various","Project_Communications",".pdf","N/A","Root/RAG","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs"
"rfi for cloud adoption.pdf","RFI","N/A","Various","Project_Communications",".pdf","N/A","Root/RAG","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs"
"RFI to Inform Public Bids to Construct AI Infrastructure (website copy).pdf","RFI","N/A","Various","Project_Communications",".pdf","N/A","Root/RAG","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs"
"RFI-Template-for-PCI-3.0.pdf","RFI","N/A","Various","Project_Communications",".pdf","N/A","Root/RAG","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs"
"RFI_.pdf","RFI","N/A","Various","Project_Communications",".pdf","N/A","Root/RAG","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs"
"rfi_quick_reference_guide.pdf","RFI","N/A","Various","Project_Communications",".pdf","N/A","Root/RAG","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs"
"SIIA-RFI-Response-–-Accelerating-Speed-to-Power.pdf","RFI","N/A","Various","Project_Communications",".pdf","N/A","Root/RAG","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs"
"TR-524_RFI_Template_for_Migration_to__SDN.pdf","RFI","N/A","Various","Project_Communications",".pdf","N/A","Root/RAG","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\04_Project_Communications\RFIs"
"ABB_UPS_ISG_MGF_SUL_1M0_1M6_1US_REV-B.pdf","Equipment_Specification","UPS","ABB","Equipment_Specifications",".pdf","N/A","Root","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\02_Equipment_Specifications\UPS"
"eaton-93e-ups-15-80-kva-installation-and-operation-manual-614-01975-00-en.pdf","Equipment_Specification","UPS","Eaton","Equipment_Specifications",".pdf","N/A","Root","c:\Users\haswa.HASWANTH\Downloads\et_data\datasets\02_Equipment_Specifications\UPS"
